"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle."	"propionate"	"propionate"	"propionate"	-0.193950420433122	0.18316893366962	0.0601959727822494	6.23157812085218e-06	0.00580082028324827	6.23157812085218e-06	0.00386046264586792	NA	"abundance"	46	46
"ARO.PWY..chorismate.biosynthesis.I"	"propionate"	"propionate"	"propionate"	-0.126751000661769	0.18316893366962	0.0407344489618148	2.66269040549716e-06	0.00580082028324827	2.66269040549716e-06	0.00386046264586792	NA	"abundance"	46	46
"PWY.5097..L.lysine.biosynthesis.VI"	"propionate"	"propionate"	"propionate"	-0.154696198131516	0.18316893366962	0.047935596185066	3.1710733546797e-06	0.00580082028324827	3.1710733546797e-06	0.00386046264586792	NA	"abundance"	46	46
"PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II"	"propionate"	"propionate"	"propionate"	-0.17488007069761	0.18316893366962	0.0548138583699541	5.14497029635574e-06	0.00580082028324827	5.14497029635574e-06	0.00386046264586792	NA	"abundance"	46	46
"PWY.6123..inosine.5..phosphate.biosynthesis.I"	"propionate"	"propionate"	"propionate"	-0.201630951057093	0.18316893366962	0.0612098953900806	5.53390074597981e-06	0.00580082028324827	5.53390074597981e-06	0.00386046264586792	NA	"abundance"	46	46
"PWY.6151..S.adenosyl.L.methionine.salvage.I"	"propionate"	"propionate"	"propionate"	-0.188214788284121	0.18316893366962	0.056780605639018	4.11237303588052e-06	0.00580082028324827	4.11237303588052e-06	0.00386046264586792	NA	"abundance"	46	46
"PWY.6163..chorismate.biosynthesis.from.3.dehydroquinate"	"propionate"	"propionate"	"propionate"	-0.123589111969981	0.18316893366962	0.0433289142551328	5.41012394972284e-06	0.00580082028324827	5.41012394972284e-06	0.00386046264586792	NA	"abundance"	46	46
"PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis"	"propionate"	"propionate"	"propionate"	-0.17488007069761	0.18316893366962	0.0548138583699541	4.98747290700319e-06	0.00580082028324827	4.98747290700319e-06	0.00386046264586792	NA	"abundance"	46	46
"NONMEVIPP.PWY..methylerythritol.phosphate.pathway.I"	"propionate"	"propionate"	"propionate"	-0.188299335576479	0.18316893366962	0.0604056436768985	8.10603784229258e-06	0.00670729597906143	8.10603784229258e-06	0.00446372483848911	NA	"abundance"	46	46
"COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis"	"isobutyrate"	"isobutyrate"	"isobutyrate"	-0.138047194480289	0.192536776707209	0.0521314695905745	1.81866735091685e-05	0.0107718037436589	1.81866735091685e-05	0.00716866649034154	NA	"abundance"	46	46
